,Symbol,Name,Sector
287,LMT,Lockheed Martin Corp.,Industrials
288,L,Loews Corp.,Financials
289,LOW,Lowe's Cos.,Consumer Discretionary
290,LUMN,Lumen Technologies,Communication Services
291,LYB,LyondellBasell,Materials
292,MTB,M&T Bank,Financials
293,MRO,Marathon Oil Corp.,Energy
294,MPC,Marathon Petroleum,Energy
295,MKTX,MarketAxess,Financials
296,MAR,Marriott International,Consumer Discretionary
297,MMC,Marsh & McLennan,Financials
298,MLM,Martin Marietta Materials,Materials
299,MAS,Masco Corp.,Industrials
300,MA,Mastercard Inc.,Information Technology
301,MXIM,Maxim Integrated Products,Information Technology
302,MKC,McCormick & Co.,Consumer Staples
303,MCD,McDonald's Corp.,Consumer Discretionary
304,MCK,McKesson Corp.,Health Care
305,MDT,Medtronic plc,Health Care
306,MRK,Merck & Co.,Health Care
307,MET,MetLife Inc.,Financials
308,MTD,Mettler Toledo,Health Care
309,MGM,MGM Resorts International,Consumer Discretionary
310,MCHP,Microchip Technology,Information Technology
311,MU,Micron Technology,Information Technology
312,MSFT,Microsoft Corp.,Information Technology
313,MAA,Mid-America Apartments,Real Estate
314,MHK,Mohawk Industries,Consumer Discretionary
315,TAP,Molson Coors Beverage Company,Consumer Staples
316,MDLZ,Mondelez International,Consumer Staples
317,MPWR,Monolithic Power Systems,Information Technology
318,MNST,Monster Beverage,Consumer Staples
319,MCO,Moody's Corp,Financials
320,MS,Morgan Stanley,Financials
321,MSI,Motorola Solutions Inc.,Information Technology
322,MSCI,MSCI Inc,Financials
323,NDAQ,Nasdaq Inc.,Financials
324,NTAP,NetApp,Information Technology
325,NFLX,Netflix Inc.,Communication Services
326,NWL,Newell Brands,Consumer Discretionary
327,NEM,Newmont Corporation,Materials
328,NWSA,News Corp (Class A),Communication Services
329,NWS,News Corp (Class B),Communication Services
330,NEE,NextEra Energy,Utilities
331,NLSN,Nielsen Holdings,Industrials
332,NKE,Nike Inc.,Consumer Discretionary
333,NI,NiSource Inc.,Utilities
334,NSC,Norfolk Southern Corp.,Industrials
335,NTRS,Northern Trust Corp.,Financials
336,NOC,Northrop Grumman,Industrials
337,NLOK,NortonLifeLock,Information Technology
338,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
339,NOV,NOV Inc.,Energy
340,NRG,NRG Energy,Utilities
341,NUE,Nucor Corp.,Materials
342,NVDA,Nvidia Corporation,Information Technology
343,NVR,NVR Inc.,Consumer Discretionary
344,ORLY,O'Reilly Automotive,Consumer Discretionary
345,OXY,Occidental Petroleum,Energy
346,ODFL,Old Dominion Freight Line,Industrials
347,OMC,Omnicom Group,Communication Services
348,OKE,Oneok,Energy
349,ORCL,Oracle Corp.,Information Technology
350,OTIS,Otis Worldwide,Industrials
351,PCAR,Paccar,Industrials
352,PKG,Packaging Corporation of America,Materials
353,PH,Parker-Hannifin,Industrials
354,PAYX,Paychex Inc.,Information Technology
355,PAYC,Paycom,Information Technology
356,PYPL,PayPal,Information Technology
357,PNR,Pentair plc,Industrials
358,PBCT,People's United Financial,Financials
359,PEP,PepsiCo Inc.,Consumer Staples
360,PKI,PerkinElmer,Health Care
361,PRGO,Perrigo,Health Care
362,PFE,Pfizer Inc.,Health Care
363,PM,Philip Morris International,Consumer Staples
364,PSX,Phillips 66,Energy
365,PNW,Pinnacle West Capital,Utilities
366,PXD,Pioneer Natural Resources,Energy
367,PNC,PNC Financial Services,Financials
368,POOL,Pool Corporation,Consumer Discretionary
369,PPG,PPG Industries,Materials
370,PPL,PPL Corp.,Utilities
371,PFG,Principal Financial Group,Financials
372,PG,Procter & Gamble,Consumer Staples
373,PGR,Progressive Corp.,Financials
374,PLD,Prologis,Real Estate
375,PRU,Prudential Financial,Financials
376,PEG,Public Service Enterprise Group (PSEG),Utilities
377,PSA,Public Storage,Real Estate
378,PHM,PulteGroup,Consumer Discretionary
379,PVH,PVH Corp.,Consumer Discretionary
380,QRVO,Qorvo,Information Technology
381,QCOM,Qualcomm,Information Technology
382,PWR,Quanta Services Inc.,Industrials
383,DGX,Quest Diagnostics,Health Care
384,RL,Ralph Lauren Corporation,Consumer Discretionary
385,RJF,Raymond James Financial,Financials
386,RTX,Raytheon Technologies,Industrials
387,O,Realty Income Corporation,Real Estate
388,REG,Regency Centers Corporation,Real Estate
389,REGN,Regeneron Pharmaceuticals,Health Care
390,RF,Regions Financial Corp.,Financials
391,RSG,Republic Services Inc,Industrials
392,RMD,ResMed,Health Care
393,RHI,Robert Half International,Industrials
394,ROK,Rockwell Automation Inc.,Industrials
395,ROL,Rollins Inc.,Industrials
396,ROP,Roper Technologies,Industrials
397,ROST,Ross Stores,Consumer Discretionary
398,RCL,Royal Caribbean Group,Consumer Discretionary
399,SPGI,S&P Global Inc.,Financials
400,CRM,Salesforce.com,Information Technology
401,SBAC,SBA Communications,Real Estate
402,SLB,Schlumberger Ltd.,Energy
403,STX,Seagate Technology,Information Technology
404,SEE,Sealed Air,Materials
405,SRE,Sempra Energy,Utilities
406,NOW,ServiceNow,Information Technology
407,SHW,Sherwin-Williams,Materials
408,SPG,Simon Property Group Inc,Real Estate
409,SWKS,Skyworks Solutions,Information Technology
410,SLG,SL Green Realty,Real Estate
411,SNA,Snap-on,Industrials
412,SO,Southern Company,Utilities
413,LUV,Southwest Airlines,Industrials
414,SWK,Stanley Black & Decker,Industrials
415,SBUX,Starbucks Corp.,Consumer Discretionary
416,STT,State Street Corp.,Financials
417,STE,Steris,Health Care
418,SYK,Stryker Corp.,Health Care
419,SIVB,SVB Financial,Financials
420,SYF,Synchrony Financial,Financials
421,SNPS,Synopsys Inc.,Information Technology
422,SYY,Sysco Corp.,Consumer Staples
423,TMUS,T-Mobile US,Communication Services
424,TROW,T. Rowe Price Group,Financials
425,TTWO,Take-Two Interactive,Communication Services
426,TPR,Tapestry Inc.,Consumer Discretionary
427,TGT,Target Corp.,Consumer Discretionary
428,TEL,TE Connectivity Ltd.,Information Technology
429,TDY,Teledyne Technologies,Industrials
430,TFX,Teleflex,Health Care
431,TER,Teradyne,Information Technology
432,TSLA,Tesla Inc.,Consumer Discretionary
433,TXN,Texas Instruments,Information Technology
434,TXT,Textron Inc.,Industrials
435,BK,The Bank of New York Mellon,Financials
436,CLX,The Clorox Company,Consumer Staples
437,COO,The Cooper Companies,Health Care
438,HSY,The Hershey Company,Consumer Staples
439,MOS,The Mosaic Company,Materials
440,TRV,The Travelers Companies,Financials
441,DIS,The Walt Disney Company,Communication Services
442,TMO,Thermo Fisher Scientific,Health Care
443,TJX,TJX Companies Inc.,Consumer Discretionary
444,TSCO,Tractor Supply Company,Consumer Discretionary
445,TT,Trane Technologies plc,Industrials
446,TDG,TransDigm Group,Industrials
447,TRMB,Trimble Inc.,Information Technology
448,TFC,Truist Financial,Financials
449,TWTR,Twitter Inc.,Communication Services
450,TYL,Tyler Technologies,Information Technology
451,TSN,Tyson Foods,Consumer Staples
452,USB,U.S. Bancorp,Financials
453,UDR,UDR Inc.,Real Estate
454,ULTA,Ulta Beauty,Consumer Discretionary
455,UAA,Under Armour (Class A),Consumer Discretionary
456,UA,Under Armour (Class C),Consumer Discretionary
457,UNP,Union Pacific Corp,Industrials
458,UAL,United Airlines Holdings,Industrials
459,UPS,United Parcel Service,Industrials
460,URI,United Rentals Inc.,Industrials
461,UNH,UnitedHealth Group Inc.,Health Care
462,UHS,Universal Health Services,Health Care
463,UNM,Unum Group,Financials
464,VLO,Valero Energy,Energy
465,VAR,Varian Medical Systems,Health Care
466,VTR,Ventas Inc,Real Estate
467,VRSN,Verisign Inc.,Information Technology
468,VRSK,Verisk Analytics,Industrials
469,VZ,Verizon Communications,Communication Services
470,VRTX,Vertex Pharmaceuticals Inc,Health Care
471,VFC,VF Corporation,Consumer Discretionary
472,VIAC,ViacomCBS,Communication Services
473,VTRS,Viatris,Health Care
474,V,Visa Inc.,Information Technology
475,VNT,Vontier,Information Technology
476,VNO,Vornado Realty Trust,Real Estate
477,VMC,Vulcan Materials,Materials
478,WRB,W. R. Berkley Corporation,Financials
479,WBA,Walgreens Boots Alliance,Consumer Staples
480,WMT,Walmart,Consumer Staples
481,WM,Waste Management Inc.,Industrials
482,WAT,Waters Corporation,Health Care
483,WEC,WEC Energy Group,Utilities
484,WFC,Wells Fargo,Financials
485,WELL,Welltower Inc.,Real Estate
486,WST,West Pharmaceutical Services,Health Care
487,WDC,Western Digital,Information Technology
488,WU,Western Union Co,Information Technology
489,WAB,Westinghouse Air Brake Technologies Corp,Industrials
490,WRK,WestRock,Materials
491,WY,Weyerhaeuser,Real Estate
492,WHR,Whirlpool Corp.,Consumer Discretionary
493,WMB,Williams Companies,Energy
494,WLTW,Willis Towers Watson,Financials
495,WYNN,Wynn Resorts Ltd,Consumer Discretionary
496,XEL,Xcel Energy Inc,Utilities
497,XRX,Xerox,Information Technology
498,XLNX,Xilinx,Information Technology
499,XYL,Xylem Inc.,Industrials
500,YUM,Yum! Brands Inc,Consumer Discretionary
501,ZBRA,Zebra Technologies,Information Technology
502,ZBH,Zimmer Biomet,Health Care
503,ZION,Zions Bancorp,Financials
504,ZTS,Zoetis,Health Care
